grep -inr --color -e "opening JDBC connection" -e "releasing JDBC connection" .

2015-09-05 17:55:34,637 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 1234 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,639 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,639 | DEBUG | xdc-db-1-thread-1 | Pre-invalidating space [test.Student] [ Method: org.hibernate.cache.UpdateTimestampsCache.preinvalidate:71 ]
2015-09-05 17:55:34,639 | DEBUG | xdc-db-1-thread-1 | Executing batch size: 2 [ Method: org.hibernate.jdbc.BatchingBatcher.doExecuteBatch:66 ]
2015-09-05 17:55:34,645 | DEBUG | xdc-db-1-thread-1 | about to close PreparedStatement (open PreparedStatements: 1, globally: 1) [ Method: org.hibernate.jdbc.AbstractBatcher.logClosePreparedStatement:418 ]
2015-09-05 17:55:34,646 | DEBUG | xdc-db-1-thread-1 | about to open PreparedStatement (open PreparedStatements: 0, globally: 0) [ Method: org.hibernate.jdbc.AbstractBatcher.logOpenPreparedStatement:410 ]
2015-09-05 17:55:34,646 | DEBUG | xdc-db-1-thread-1 | update test.Student set age=?, content=?, extProperties=?, image=?, name=? where id=? [ Method: org.hibernate.jdbc.util.SQLStatementLogger.logStatement:111 ]
2015-09-05 17:55:34,646 | DEBUG | xdc-db-1-thread-1 | Set string for CLOB with length 9 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setClobAsString:288 ]
2015-09-05 17:55:34,647 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,647 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 232 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,647 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,647 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 1234 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,647 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,648 | DEBUG | xdc-db-1-thread-1 | Pre-invalidating space [test.Student] [ Method: org.hibernate.cache.UpdateTimestampsCache.preinvalidate:71 ]
2015-09-05 17:55:34,648 | DEBUG | xdc-db-1-thread-1 | reusing prepared statement [ Method: org.hibernate.jdbc.AbstractBatcher.prepareBatchStatement:248 ]
2015-09-05 17:55:34,648 | DEBUG | xdc-db-1-thread-1 | update test.Student set age=?, content=?, extProperties=?, image=?, name=? where id=? [ Method: org.hibernate.jdbc.util.SQLStatementLogger.logStatement:111 ]
2015-09-05 17:55:34,648 | DEBUG | xdc-db-1-thread-1 | Set string for CLOB with length 9 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setClobAsString:288 ]
2015-09-05 17:55:34,649 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,649 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 232 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,649 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,649 | DEBUG | xdc-db-1-thread-1 | Set bytes for BLOB with length 1234 [ Method: org.springframework.jdbc.support.lob.DefaultLobHandler$DefaultLobCreator.setBlobAsBytes:231 ]
2015-09-05 17:55:34,649 | DEBUG | xdc-db-1-thread-1 | Registering Spring transaction synchronization for LobCreator [ Method: org.springframework.jdbc.support.lob.LobCreatorUtils.registerTransactionSynchronization:59 ]
2015-09-05 17:55:34,650 | DEBUG | xdc-db-1-thread-1 | Pre-invalidating space [test.Student] [ Method: org.hibernate.cache.UpdateTimestampsCache.preinvalidate:71 ]
2015-09-05 17:55:34,650 | DEBUG | xdc-db-1-thread-1 | Executing batch size: 2 [ Method: org.hibernate.jdbc.BatchingBatcher.doExecuteBatch:66 ]
2015-09-05 17:55:34,652 | DEBUG | xdc-db-1-thread-1 | about to close PreparedStatement (open PreparedStatements: 1, globally: 1) [ Method: org.hibernate.jdbc.AbstractBatcher.logClosePreparedStatement:418 ]
2015-09-05 17:55:34,663 | DEBUG | xdc-db-1-thread-1 | re-enabling autocommit [ Method: org.hibernate.transaction.JDBCTransaction.toggleAutoCommit:223 ]
2015-09-05 17:55:34,665 | DEBUG | xdc-db-1-thread-1 | committed JDBC Connection [ Method: org.hibernate.transaction.JDBCTransaction.commit:143 ]
2015-09-05 17:55:34,665 | DEBUG | xdc-db-1-thread-1 | transaction completed on session with on_close connection release mode; be sure to close the session to release JDBC resources! [ Method: org.hibernate.jdbc.ConnectionManager.afterTransaction:325 ]
2015-09-05 17:55:34,665 | DEBUG | xdc-db-1-thread-1 | Invalidating space [test.Student], timestamp: 5904166644387840 [ Method: org.hibernate.cache.UpdateTimestampsCache.invalidate:95 ]
2015-09-05 17:55:34,667 | DEBUG | xdc-db-1-thread-1 | Closing Hibernate Session [org.hibernate.impl.SessionImpl@b6b321] after transaction [ Method: org.springframework.orm.hibernate3.HibernateTransactionManager.doCleanupAfterCompletion:735 ]
2015-09-05 17:55:34,667 | DEBUG | xdc-db-1-thread-1 | Closing Hibernate Session [ Method: org.springframework.orm.hibernate3.SessionFactoryUtils.closeSession:800 ]
2015-09-05 17:55:34,667 | DEBUG | xdc-db-1-thread-1 | releasing JDBC connection [ (open PreparedStatements: 0, globally: 0) (open ResultSets: 0, globally: 0)] [ Method: org.hibernate.jdbc.ConnectionManager.closeConnection:464 ]
2015-09-05 17:55:34,669 | DEBUG | xdc-db-1-thread-1 | transaction completed on session with on_close connection release mode; be sure to close the session to release JDBC resources! [ Method: org.hibernate.jdbc.ConnectionManager.afterTransaction:325 ]
